external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,new_june_2018,retweet,account_category
1685173321,BLMSOLDIER,Koome: This court won’t sit next week but will ask president to constitute a bench Monday. Hopefully you will have signed the RA #KMPDUCase https://t.co/IsXBYDjR1W,United States,English,3/7/2017 10:27,3/7/2017 10:28,694,712,4846,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,Get Youtube promotion go viral click here to start today https://t.co/XhGVhUXv87 #43,United States,English,3/7/2017 10:28,3/7/2017 10:28,694,712,4847,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,"""Affordable Care Act"" replacement breaks Trump's campaign promises; pre-existing conditions not covered unless you are continuously insured",United States,English,3/7/2017 10:28,3/7/2017 10:28,694,712,4848,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,'@GeorgeJolly9 oh you know she is dead ass serious too. @GinBatch what books have you read indicating @TalibKweli supports the KKK etc?',United States,English,3/7/2017 15:30,3/7/2017 15:31,694,711,4852,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,"Media is treating wiretap claim like it's legitimate issue. They're investigating, looking for evidence. Call it what it is: A LIE.",United States,English,3/7/2017 15:30,3/7/2017 15:31,694,711,4853,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,#NowPlaying  @KanyeWest - No Church In The Wild (feat Frank Ocean) - https://t.co/0Qv1KMY0xy,United States,English,3/7/2017 15:30,3/7/2017 15:30,694,711,4851,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,Need #Datpiff promotion no bots go bronze click here to start https://t.co/2xZHX9Vj0b #21,United States,English,3/7/2017 20:31,3/7/2017 20:31,694,710,4854,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,"#Repost @LondonJae4real ・・・ 3️⃣DAYS til ""I AM WHAT I AM"" drop!! Been waitin on dis one fr!!… https://t.co/Q2iMsW6noF",United States,English,3/7/2017 20:32,3/7/2017 20:32,694,710,4858,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,Follow @OfficialCoreDJs the number one DJ source for your entertainment needs!,United States,English,3/7/2017 20:32,3/7/2017 20:32,694,710,4855,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,Trump's spent more in a MONTH to play golf than Obama spent in a YEAR but yeah poor people need to decide between iPhones &amp; dying.,United States,English,3/7/2017 20:32,3/7/2017 20:32,694,710,4857,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,Now Playing: Fetty Wap - Better Ft. Samantha -&gt; https://t.co/eMX9JgTv3v,United States,English,3/7/2017 5:25,3/7/2017 5:25,694,712,4839,RETWEET,left,0,1,LeftTroll
1685173321,BLMSOLDIER,I have #epilepsy and am 26. Under #Trumpcare my employer is not required to provide me insurance.,United States,English,3/7/2017 5:25,3/7/2017 5:26,694,712,4842,RETWEET,left,0,1,LeftTroll
